msa_sentence,dialect_sentence,split,dialect,region
فقال له بطرس: «حتى لو كان علي أن أموت معك، فإني لن أنكرك!» وقال جميع التلاميذ مثل هذا الكلام. يسوع يصلي منفردا,قالو بطرس: «ما نيش باش ننكر فيك حتى إذا كان لزم باش نموت معاك.» والكلام هاذا قالوهولو التلامذة الكلهم. يسوع يصلي في جثسيماني ( مرقس ‏14‏:‏32‏-42 ؛ لوقا ‏22‏:‏39‏-46 ),train,Tunis,MGR
فشفى يسوع كثيرين ممن كانوا مصابين بأمراض مختلفة، وطرد كثيرا من الأرواح الشريرة. ولكن يسوع لم يسمح للأرواح بأن تتكلم لأنها عرفت من يكون. الاستعداد لإعلان البشارة,وشفى برشة ناس كانوا يعانوا من برشة أمراض وخرج برشة شواطن. وما خلاش الشواطن يتكلموا على خاطرهم عرفوا شكونو هو. يسوع يمشي للجليل ( لوقا ‏4‏:‏42‏-44 ),train,Tunis,MGR
فجاء الذي أخذ الأكياس الخمسة، وكسب خمسة أكياس أخرى وقال: ‹يا سيدي، أعطيتني خمسة أكياس، وهذه خمسة أكياس أخرى كسبتها.›,"وجا الي خذا الخمسة صرر، وجاب خمسة صرر زايدين وقال: ""يا سيدي، عطيتني خمسة صرر، هاني ربحت خمسة صرر أخرين.""",train,Tunis,MGR
حينئذ ابتدأ يلعن  #يلعن.  74:26  أي يقسم على نفسه باللعن إن كان كاذبا!  ويحلف ويقول: «أني لا أعرف هذا الرجل.» وفي الحال صاح الديك.,الوقت هاذاكا بدا يحلف ويتكتف: «آنا ما نعرفش الراجل هاذا.» وبالوقت صاح السردوك،,train,Tunis,MGR
‹هذا الشعب يمجدني بشفتيه، وأما قلبه فبعيد عني.,# إش ‏29‏:13 الشعب هاذا بفمو يكرم في  وقلبو بعيد علي.,train,Tunis,MGR
«إذا أخطأ أخوك إليك، فاذهب إليه وتحدث معه على انفراد. فإن استمع إليك، تكون قد ربحت أخاك.,«إذا كان خوك يغلط في حقك، إمشي وقلو على غلطتو بينك وبينو آكاهو، وإذا كان سمع كلامك راك ربحت خوك.,train,Tunis,MGR
ورأى شجرة تين على جانب الطريق، فتوجه إليها، لكنه لم يجد عليها سوى الأوراق، فقال لها: «لن تنتجي ثمارا فيما بعد.» فجفت شجرة التين في الحال.,وشاف كرمة على جنب الطريق ياخي مشالها، وما لقى فيها كان الورق وقاللها: «عمرك ما تجيبي الغلة للأبد!» ويبست الكرمة بالوقت.,train,Tunis,MGR
فنزل المطر، وارتفعت مياه السيول، وهبت الريح وضربت ذلك البيت، فسقط سقوطا هائلا!»,وصبت المطر وجات الفيضانات والريح هب على الدار هاذيكا ياخي طاحت، وما بقى منها حتى شيء.»,train,Tunis,MGR
اسهروا وصلوا لكي لا تجربوا. روحكم تسعى إلى ذلك، أما جسدكم فضعيف.»,أسهروا وصليو باش ما تحصلوش في تجربة. راهي الروح تحب تبقى فايقة، آما البدن راهو ضعيف.»,train,Tunis,MGR
أقول الحق لكم، إلى أن تزول السماء والأرض، لن يزول أصغر حرف أو نقطة من الشريعة، حتى يتم كل ما هو مكتوب فيها.,نقلكم الحق: لين توفى السماء والأرض ما يتنحى حتى حرف ولا نقطة وحدة مالشريعة حتى لين يتم كل شيء.,train,Tunis,MGR
فتركا شباكهما حالا وتبعاه.,وبالوقت خلاو الشباك متاعهم وتبعوه.,train,Tunis,MGR
ثم تلقي الأشرار إلى الفرن المشتعل. هناك يبكي الناس ويصرون على أسنانهم.»,ويرميوهم في وسط النار، والغادي باش يكون البكاء وغزان السنين.» الجديد والقديم,train,Tunis,MGR
وبينما كان يسوع جالسا على جبل الزيتون، جاء إليه تلاميذه على انفراد، وقالوا له: «أخبرنا متى ستحدث هذه الأمور؟ وما هي علامة عودتك ونهاية الزمن؟»,وقتلي كان قاعد في جبل الزيتون، جاوه تلامذتو على جنب وقالولو: «قلنا وقتاش باش ياقع الشيء هاذا وشنوة الأمارة متاع جيانك ومتاع آخر الزمان؟»,train,Tunis,MGR
وستعلن بشارة ملكوت الله في كل العالم كشهادة لغير اليهود، ثم تأتي النهاية.,والإنجيل متاع مملكة الله هاذي باش يتخبر بيه في العالم الكلو، شهادة للشعوب الكلهم ومباعد تجي النهاية.» الخراب العظيم ( مرقس ‏13‏:‏14‏-23 ؛ لوقا ‏21‏:‏20‏-24 ),train,Tunis,MGR
ومتى رأيناك غريبا فآويناك، أو عريانا فألبسناك؟,ووقتاش شفناك غريب وسكناك؟ ولا عريان ولبسناك؟,train,Tunis,MGR
وقال يسوع: «احذروا من أن تستخفوا بأحد تلاميذي البسطاء. لأني أخبركم أن الملائكة الموكلة بحمايتهم يرون وجه أبي الذي في السماء دائما.,«ردوا بالكم لا تحقروا واحد مالولاد هاذوما. نقلكم: راهم الملايكة متاعهم في السماء ديما يشوفوا في وجه بويا الي في السماء.,train,Tunis,MGR
وقبل الفجر بقليل، جاء يسوع إليهم ماشيا على البحيرة.,وقبل الفجر جاهم يسوع يمشي فوق الماء.,train,Tunis,MGR
حينئذ قال يسوع: «دعوا الأطفال يأتون إلي، ولا تمنعوهم عني، لأن لمثل هؤلاء ملكوت السماوات.»,آما يسوع قال: «خلوا الصغار يجوني وما تحوزوهمش، راهي مملكة السماوات للناس الي كيفهم.»,train,Tunis,MGR
فكان بيننا سبعة إخوة، فتزوج الأول ومات. ولأنه لم ينجب أولادا، تزوج أخوه أرملته.,وتوا كانوا ثمة سبعة إخوة ما بيناتنا، وعرس الخو الأول ومات من غير ما يجيب ولاد، ومرتو خذاها خوه.,train,Tunis,MGR
«سمعتم أنه قيل: ‹أحبب صاحبك، وأبغض عدوك.›  #أحبب … عدوك.  43:5  من كتاب اللاويين 19: 18.,"«سمعتوا الي تقال: ""حب قريبك وأكره عدوك.""",train,Tunis,MGR
فعندما تعطي المحتاج، لا تعلن ذلك وكأنك تنفخ في بوق كما يفعل المراؤون في المجامع والشوارع طلبا لمديح الناس. أقول الحق لكم، إنهم نالوا بذلك مكافأتهم كاملة.,وقتلي تتصدق على واحد، ما تناديش بالبوق كيف ما يعملوا المنافقين في المجامع والشوارع باش الناس يشكروهم. نقلكم الحق: راهم خذاو أجرهم.,train,Tunis,MGR
«هكذا يصير أول الناس آخر الناس، ويصير آخر الناس أول الناس.» يسوع ينبئ بموته وقيامته,وقال يسوع: «آما الإخرانين باش يوليو لولانين، ولولانين باش يوليو الإخرانين.» يسوع يخبر مرة ثالثة على موتو وقيامتو ( مرقس ‏10‏:‏32‏-34 ؛ لوقا ‏18‏:‏31‏-34 ),train,Tunis,MGR
وإن كانت يدك اليمنى تدفعك إلى الخطية، فاقطعها وألقها بعيدا عنك. فالأفضل أن تفقد عضوا واحدا من جسمك، من أن يطرح جسمك كله إلى جهنم. الطلاق,وإذا يدك تخليك تغلط، قصها وإرميها، راهو كتخسر قطعة من بدنك خيرلك ملي بدنك الكلو يدخل لجهنم.» الطلاق ( متى ‏19‏:9 ؛ مرقس ‏10‏:‏11‏-12 ؛ لوقا ‏16‏:18 ),train,Tunis,MGR
واقتاد الروح يسوع إلى البرية وحده.,وبالوقت الروح القدس هز يسوع للخلاء,train,Tunis,MGR
ثم أرسلهم إلى مدينة بيت لحم، وقال: «اذهبوا وابحثوا عن الطفل. وعندما تجدونه أخبروني، حتى آتي أنا أيضا وأسجد له.»,ومباعد بعثهم لبيت لحم وقاللهم: «إمشيو ولوجوا على الطفل. وكتلقاوه، إيجاو وخبروني باش آنا زادا نمشي ونسجدلو.»,train,Tunis,MGR
تجربة يسوع,بليس يجرب يسوع ( مرقس ‏1‏:‏12‏-13 ؛ لوقا ‏4‏:‏1‏-13 ),train,Tunis,MGR
ومن تلك اللحظة ابتدأ يهوذا يبحث عن فرصة مناسبة لتسليم يسوع إليهم. على مائدة الفصح,ومالوقت هاذاكا بدا يستنى في فرصة باش يخونو. عشاء الفصح مع التلامذة ( مرقس ‏14‏:‏12‏-21 ؛ لوقا ‏22‏:‏7‏-23 ؛ يوحنا ‏13‏:‏21‏-30 ),train,Tunis,MGR
وفي اليوم التالي، بعد أن انتهى يوم الجمعة، اجتمع كبار الكهنة والفريسيون مع بيلاطس،,ومن غدوة، الي هو بعد النهار الي يحضروا فيه، مشاو رؤساء الكهان والفريسيين لبيلاطس,train,Tunis,MGR
لن يكسر حتى القصبة المنحنية، ولن يطفئ حتى الفتيلة المدخنة. وسيستمر إلى أن يجعل العدل ينتصر.,قصبة مرضرضة ما يكسرهاش،  وفتيلة ادخن ما يطفيهاش.  حتى لين يخلي الحق يغلب،,train,Tunis,MGR
قادة اليهود يمتحنون يسوع,العلامات متاع الأوقات ( مرقس ‏8‏:‏11‏-13 ؛ لوقا ‏12‏:‏54‏-56 ),train,Tunis,MGR
«وأخيرا جاءت بقية الفتيات وقلن: ‹يا سيد، يا سيد، افتح لنا الباب.›,"ومباعد جاو الصبايا الأخرين زادا وقالوا للعريس: ""يا سيدنا، يا سيدنا، حللنا الباب!""",train,Tunis,MGR
حدث هذا ليتم ما قاله الله على لسان النبي إشعياء: «هو أخذ اعتلالاتنا، وحمل أمراضنا.» اتباع يسوع,# إش ‏53‏:4 والشيء هاذا وقع باش يتم الشيء الي قالو النبي إشعياء:  خذا وجايعنا، وهز مراضنا. يسوع ولا العالم ( لوقا ‏9‏:‏57‏-62 ),train,Tunis,MGR
أما يسوع فبقي صامتا. فقال له رئيس الكهنة: «أناشدك باسم الله الحي أن تخبرنا إن كنت أنت المسيح ابن الله.»,آما يسوع بقى ساكت. وقالو أعلى واحد في رؤساء الكهان: «حلفتك بالله الحي قوللنا: ياخي إنت المسيح إبن الله؟»,train,Tunis,MGR
ثم ترك ذلك المكان، وذهب إلى مجمعهم.,ومشى يسوع مالبلاصة هاذيكا ودخل للمجمع متاعهم.,train,Tunis,MGR
وقال له: «إن كنت حقا ابن الله، فارم بنفسك من هنا. فالكتاب يقول: ‹يوصي الله ملائكته بك.› «وبأنهم: ‹سيحملونك على أياديهم، لئلا ترتطم قدمك بحجر.›»,# مز ‏91‏:‏11‏-12 وقالو: «كانك إنت إبن الله ارمي روحك الوطا، على خاطر مكتوب في الكتاب المقدس:  يوصي عليك ملايكتو،  بين يديهم يهزوك  باش ما تتضربش في حجرة رجلك.»,train,Tunis,MGR
ويقول: «قد حان الوقت، واقترب ملكوت الله، فتوبوا وآمنوا بهذه البشارة.»,ويقول: «الزمان كمل ومملكة الله قربت. توبوا وامنوا بالإنجيل!»,train,Tunis,MGR
فلم يجبها يسوع بأية كلمة. فجاء إليه تلاميذه وطلبوا منه وقالوا: «اطردها من هنا، لأنها تتبعنا وتصرخ.»,آما هو ما جاوبها بحتى كلمة. وجاو تلامذتو وتشحتوه وقالوا: «أعطيها الي تحب عليه خليها تبعدنا، راهي تمشي ورانا وتصيح!»,train,Tunis,MGR
فبماذا تحكمون؟» فأجابوه: «إنه يستحق الموت.»,شنوة تحكموا عليه؟» جاوبوا: «يلزمو يموت!»,train,Tunis,MGR
فتكونوا بذلك أبناء أبيكم الذي في السماء. لأن الله يجعل الشمس تشرق على الخطاة والصالحين، ويرسل المطر إلى الأبرار والأشرار.,باش تكونوا ولاد بوكم الي في السماء. على خاطرو يخلي الشمس متاعو تضوي على الباهي والخايب، ويعطي المطر للصالح والفاسد.,train,Tunis,MGR
ثم سار قليلا، فرأى يعقوب بن زبدي وأخاه يوحنا وهما في قاربهما يجهزان الشباك.,وبعد ما زاد مشى شوية شاف يعقوب ويوحنا ولاد زبدي في الفلوكة يصلحوا في الشباك.,train,Tunis,MGR
وتبعته جموع كبيرة من الناس فشفاهم هناك.,وتبعوه برشة ناس، وشفاهم الغادي.,train,Tunis,MGR
فجاء إليه عبيده وقالوا له: ‹يا سيد، ألم تزرع بذورا جيدة في حقلك؟ فمن أين إذا جاءت هذه الأعشاب الضارة؟›,"وجاو الخداما متاع مولى الأرض وقالولو: ""يا سيدنا ياخي إنت موش زرعت زريعة باهية في الأرض متاعك؟ إمالا منين جاها الزوان؟""",train,Tunis,MGR
فمنهن مريم المجدلية، ومريم أم يعقوب ويوسف، وكذلك أم ابني زبدي.  #ابني زبدي.  56:27  يعقوب ويوحنا. دفن يسوع,ومنهم مريم المجدلية، ومريم أم يعقوب ويوسف، وأم ولاد زبدي. دفنان يسوع ( مرقس ‏15‏:‏42‏-47 ؛ لوقا ‏23‏:‏50‏-56 ؛ يوحنا ‏19‏:‏38‏-42 ),train,Tunis,MGR
حينئذ فهم تلاميذه أنه كان يتكلم عن يوحنا المعمدان. يسوع يخرج روحا شريرا من صبي,والوقت هاذاكا فهموا التلامذة الي هو كان يحكيلهم على يوحنا المعمدان. يسوع يشفي ولد ساكنو شيطان ( مرقس ‏9‏:‏14‏-29 ؛ لوقا ‏9‏:‏37‏-43 ),train,Tunis,MGR
«وبينما هو ذاهب، وجد أحد رفاقه العبيد، وكان مديونا له بمبلغ زهيد. فأمسك بعنقه وابتدأ يخنقه ويقول له: ‹سد ما عليك من دين لي.›,"آما الخديم هاذاكا بيدو خرج ولقى خديم آخر كيفو يسالو شوية فلوس، ياخي خنقو وقال: ""خلصني في الفلوس الي نسالهالك!""",train,Tunis,MGR
«ولكن المدعوين لم يهتموا بالأمر، ومضى كل واحد منهم في طريقه. فذهب واحد للعمل في حقله، وآخر إلى تجارته.,آما هوما ما عملوش حساب للسهرية ومشاو على رواحهم، واحد مشى للسانية متاعو، وواحد مشى لحانوتو،,train,Tunis,MGR
«أنا أعمدكم في ماء لإعلان توبتكم، أما الذي يأتي بعدي فهو أعظم مني، ولست مستحقا أن أخلع حذاءه. هو سيعمدكم في الروح القدس ونار.,آنا نعمدكم بالماء باش اتوبوا، وآما الي باش يجي بعدي راهو أقوى مني، وآنا ما نستاهلش باش انحيلو صندالو. هو باش يعمدكم بالروح القدس وبالنار.,train,Tunis,MGR
وأقول لك إنك بطرس،  #بطرس.  18:16  من اليونانية «بيتروس» ومعناه «صخر.»  وعلى هذه الصخرة أبني كنيستي، وأبواب الهاوية  #أبواب الهاوية.  18:16  أي قوة الموت.  لن تقدر أن تهزمها.,وآنا نقلك: إنت بطرس الي معناها حجرة كبيرة، وعلى الحجرة هاذي باش نبني كنيستي، وبيبان الهاوية ما هيش باش تغلبها.,train,Tunis,MGR
فيبدأ بضرب رفاقه الخدام، ويبدأ بالأكل والشرب مع السكارى.,وبدا يضرب في الخدام الأخرين وياكل ويشرب مع السكارجية،,train,Tunis,MGR
حتى إنه وعد وأقسم بأن يعطيها ما تطلبه مهما كان.,هاذاكا علاش وعدها وحلفلها باش يعطيها أي حاجة تطلبها.,train,Tunis,MGR
وبعد أن سافر الرجال الحكماء، ظهر ملاك الرب ليوسف في حلم وقال له: «قم خذ الطفل وأمه واهرب إلى مصر، وابق هناك حتى أخبرك، لأن هيرودس سيبحث عن الطفل ليقتله.»,وبعد ما روحوا الحكماء، ظهر ملاك الرب ليوسف في الحلم وقالو: «قوم! هز الطفل وأمو وأهرب لمصر وأبقى لغادي، حتى لين نقلك وقتاش ترجع، على خاطر هيرودس باش يلوج على الطفل ويقتلو.»,train,Tunis,MGR
وبسبب زيادة الشر، ستبرد محبة كثيرين من المؤمنين،,والأغلبية متاع الناس ما عادش باش تولي عندهم محبة، على خاطر الشر باش يكثر.,train,Tunis,MGR
يعقوب أبو يوسف، زوج مريم. ومريم هي أم يسوع الذي يدعى «المسيح.»,ويعقوب جاب يوسف راجل مريم الي جابت يسوع الي يسميوه المسيح.,train,Tunis,MGR
أعطوا يسوع نبيذا ممزوجا بمادة مرة ليشربه. فلما ذاقه، رفض أن يشرب.,عطاوه شراب مخلط بحاجة يسموها المر باش يشربو، آما وقتلي ذاقو ما حبش يشربو.,train,Tunis,MGR
احذروا من الناس، لأنهم سيسلمونكم للمحاكمة في محاكمهم، وسيجلدونكم في مجامعهم.,وردوا بالكم مالناس على خاطرهم باش يسلموكم للمجلس متاع اليهود، ويضربوكم بالسوط في المجامع متاعهم،,train,Tunis,MGR
«سمعتم أنه قيل أيضا لآبائكم: ‹لا تحلف بالكذب، بل أوف بما أقسمت بأن تفعله للرب.›  #لا تحنث … للرب.  33:5  انظر كتاب اللاويين 19: 12، وكتاب العدد 30: 2، وكتاب التثنية 23: 21.,"# لا ‏19‏:12؛ عد ‏30‏:2؛ تث ‏23‏:21 «وسمعتوا زادا الي تقال لجدودكم: ""ما تحلفش بالكذب، آما أصدق في الي توعد بيه ربي.""",train,Tunis,MGR
«حينئذ يشبه ملكوت السماوات عشر فتيات أخذن مصابيحهن وخرجن للقاء العريس.,«إمالا مملكة السماوات تشبه لعشرة صبايا هزوا الفنارات متاعهم ومشاو باش يعرضوا للعريس.,train,Tunis,MGR
حينئذ أطلق بيلاطس باراباس لهم، وأمر بأن يجلد يسوع، وأسلمه ليصلب. الجنود يستهزئون بيسوع,ومباعد سيبلهم باراباس، وسلم يسوع باش يتصلب بعد ما ضربو بالسوط. الجنود يتمسخروا على يسوع ( مرقس ‏15‏:‏16‏-20 ؛ يوحنا ‏19‏:‏2‏-3 ),train,Tunis,MGR
ثم قال يسوع للذي يده مشلولة: «ابسط يدك.» فبسطها فعادت سليمة تماما كيده الأخرى.,ومباعد قال يسوع للراجل: «مد يدك!» والراجل مدها، ورجعت صحيحة الكلها كيف اليد الأخرى.,train,Tunis,MGR
وسيسلمونكم إلى حكام وملوك لأنكم تلاميذي. ستكون هذه فرصتكم لتشهدوا عني لليهود ولغير اليهود.,وتتهزوا للحكام والملوك على خاطري، باش تشهدوا قدامهم هوما وقدام الشعوب الأخرين.,train,Tunis,MGR
«وستقف ملكة الجنوب  #ملكة الجنوب.  42:12  ملكة سبأ. وقد قطعت نحو ألفي كيلومتر لكي تسمع حكمة الله على فم الملك سليمان. انظر كتاب الملوك الأول 10: 1-13.  يوم الدينونة ضد هذا الجيل وستدينه. فقد جاءت من أقاصي الأرض لكي تسمع حكمة سليمان. والآن هنا أمامكم من هو أعظم من سليمان. النفس الفارغة,# I مل ‏10‏:‏1‏-10؛ II أخ ‏9‏:‏1‏-12 والملكة متاع الجنوب باش تقوم مع الجيل هاذا في يوم الحساب وتحكم عليه، على خاطرها جات من آخر الدنيا باش تسمع الحكمة متاع سليمان، وهاو هنا شكونو أعظم من سليمان!» رجوع الروح المنزوس ( لوقا ‏11‏:‏24‏-26 ),train,Tunis,MGR
سيقف أهل نينوى يوم الدينونة ضد هذا الجيل، وسيدينونه لأنهم تابوا إذ سمعوا تحذير يونان. والآن هنا أمامكم من هو أعظم من يونان.,# يون ‏3‏:5 امالي نينوى باش يقوموا مع الجيل هاذا في يوم الحساب ويحكموا عليه، على خاطرهم تابوا وقتلي نبههم يونس، وهاو ثمة شكون هنا أعظم من يونس.,train,Tunis,MGR
فهذه أمور يسعى إليها أهل العالم الآخرون، وأبوكم السماوي يعرف أنكم تحتاجون إليها كلها.,راهي الحاجات هاذي الكلها يلوجوا عليها الناس الي ما همش مؤمنين، وبوكم الي في السماء يعرف الي إنتوما تحتاجولهم.,train,Tunis,MGR
فقال لهما يسوع: «اتبعاني فأجعلكما تصيران صيادين للناس.»,قاللهم يسوع: «تبعوني وآنا باش نردكم صيادا متاع ناس.»,train,Tunis,MGR
حينئذ أتى تلاميذ يوحنا وأخذوا جسده ودفنوه. ثم ذهبوا وأخبروا يسوع بما حدث. يسوع يطعم أكثر من خمسة آلاف,وجوا تلامذة يوحنا وهزوا الجثة متاعو ودفنوها، ومشاو وخبروا يسوع. يسوع يوكل خمسة آلاف راجل ( مرقس ‏6‏:‏30‏-44 ؛ لوقا ‏9‏:‏10‏-17 ؛ يوحنا ‏6‏:‏1‏-14 ),train,Tunis,MGR
«ولماذا تقلقون بخصوص ما ستلبسون؟ انظروا كيف تنمو زنابق الحقول. إنها لا تتعب ولا تغزل.,وعلاش تخمموا في اللبسة؟ أخزروا للنوار متاع بوقرعون كيفاش يكبر: لا يتعب ولا يغزل.,train,Tunis,MGR
وسأله: «هل أنت الذي ننتظره، أم ينبغي أن ننتظر آخر؟»,وقالو: «إنت هو الي جاي ولا نستنوا واحد آخر؟»,train,Tunis,MGR
فإن أردتم أن تقولوا ‹نعم،› فقولوا ‹نعم.› وإن أردتم أن تقولوا ‹لا،› فقولوا ‹لا.› وكل ما يزيد عن ذلك فهو من الشرير.  #الشرير.  37:5  الشيطان. مقاومة الشر,خلي كلامكم يكون إيه ولا لا، وأي حاجة زايدة على هاذا راهي مالشرير.» الإنتقام ( لوقا ‏6‏:‏29‏-30 ),train,Tunis,MGR
وكانوا يقولون: «لا ينبغي أن نفعل هذا خلال العيد، لنتجنب الشغب بين الناس.» امرأة تسكب العطر على يسوع,آما قالوا: «ما نشدوهش في العيد، باش ما توليش خوضة في وسط الشعب.» مرا تصب العطر على يسوع ( مرقس ‏14‏:‏3‏-9 ؛ يوحنا ‏12‏:‏1‏-8 ),train,Tunis,MGR
فأجابه بطرس: «حتى لو فقد الجميع إيمانهم بك، فأنا لا يمكن أن أفقد إيماني بك.»,ياخي قالو بطرس: «حتى لوكان خلوك الكلهم، آنا عمري ما نخليك.»,train,Tunis,MGR
لا تستطيع شجرة صالحة أن تنتج ثمرا رديئا، ولا شجرة رديئة أن تنتج ثمرا صالحا.,لا الشجرة الباهية تجيب غلة خايبة، ولا الشجرة الخايبة تجيب غلة باهية.,train,Tunis,MGR
وإذ اقتربوا من مدينة القدس، وجاءوا إلى بلدة بيت فاجي قرب جبل الزيتون، أرسل يسوع اثنين من تلاميذه،,كقربوا يسوع وتلامذتو لأورشليم ووصلوا لقرية بيت فاجي الي بحذا جبل الزيتون، الوقت هاذاكا بعث يسوع زوز تلامذة،,train,Tunis,MGR
وإن قال أحد لكما شيئا، قولا له: ‹الرب يحتاج إليهما، وسيعيدهما قريبا.›»,"وإذا كان أي واحد يقلكم حاجة، جاوبوه: ""الرب حاجتو بيهم."" وتو يرجعهم بالوقت.",train,Tunis,MGR
«لا يمكن لأحد أن يخدم سيدين. فإما أن يكره أحدهما ويحب الآخر، وإما أن يخلص لأحدهما ويحتقر الآخر. لا يمكنكم أن تخدموا الله والغنى.  #الغنى.  24:6  حرفيا «مامونا.» وهي كلمة آرامية تعني «ثروة،» بمعناها السلبي، إذ تمثل هنا إلها يخدمه الناس من دون الله. ملكوت الله أولا,«حتى واحد ما ينجم يخدم زوز أسياد، راهو يا إما باش يكره واحد منهم ويحب الآخر، ولا باش يتبع واحد منهم ويحقر الآخر. ما تنجموش تخدموا الله والفلوس.,train,Tunis,MGR
فاندهشت جموع الناس عندما رأوا الصم البكم يتكلمون، والعرج يصحون، والمشلولين يمشون، والعمي يبصرون، فمجدوا إله إسرائيل. يسوع يطعم أكثر من أربعة آلاف,وتعجبوا الناس كشافوا البكاكش يتكلموا، والعياب يتشفاو، والمشلولين يمشيو، والعميان يشوفوا. ومجدوا إلاه إسرائيل. يسوع يوكل أربعة آلاف راجل ( مرقس ‏8‏:‏1‏-10 ),train,Tunis,MGR
وكل من يستمع إلى كلامي هذا ولا يعمل به، فهو أشبه برجل غبي بنى بيته على الرمل.,ولي يسمع كلامي هاذا وما يعملش بيه باش يكون كيف راجل جاهل بنى دارو على الرمل.,train,Tunis,MGR
فقال لهم: «افترضوا أن أحدكم له خروف وقع في حفرة يوم السبت، ألا تمسكونه وتخرجونه؟,قاللهم يسوع: «شكونو فيكم الي عندو علوش واحد ويطيحلو في بير نهار السبت، موش باش يشدو ويخرجو مالبير؟,train,Tunis,MGR
وفي الصباح الباكر قبل شروق الشمس، خرج يسوع وحده، وذهب إلى مكان منعزل ليصلي.,واليومت غدوة في الصباح بكري قام يسوع ومشى لبقعة خالية وبدا يصلي.,train,Tunis,MGR
فقال لهم يسوع: «أينوح ضيوف العريس والعريس بينهم؟ لكن سيأتي يوم يؤخذ فيه العريس منهم، فحينئذ سيصومون.,قاللهم يسوع: «ياخي المستدعين للعرس ينجموا ينوحوا، والعريس مازال ما بيناتهم؟ باش يجيو نهارات يتهز العريس بعيد عليهم والوقت هاذاكا باش يصوموا.,train,Tunis,MGR
لأن يوحنا قال لهيرودس: «لا يحق لك أن تأخذ زوجة أخيك.»,على خاطر يوحنا قالو: «حرام عليك كان تاخذها.»,train,Tunis,MGR
