msa_sentence,dialect_sentence,dialect,region,split
التى توقفت عن بيع القصب إلى عصام السحرى,الي بطلت تبيع قصب لعصام السحري,Syria,LEV,train
وصيتى حبيبي لك أن لا تنسانى,وصيتي ألك حبيبي أنو ما تنساني,Syria,LEV,train
الرب يبارك فى كل بنت مثلك,الله يبارك بكل بنت متلك,Syria,LEV,train
أنا أموت وتقول لى أننى كبير السن وأنا فى قلبى شاب ..,رح موت . بتقول عني كبير بالعمر وأنا من جوا قلبي لسه شاب ...,Syria,LEV,train
الرب يبارك نفوس الناس,يا لطيف على نفوس هالناس .,Syria,LEV,train
الكلمات التى تكتبها جميلة جداً,الكلمات أو الخربشات الي كتبتها مو معقول أديش حلوة,Syria,LEV,train
لكن  ابدا لم انساه,بس أنا أبدا ما نسيتو,Syria,LEV,train
وهذا كل شىء,بس هيك,Syria,LEV,train
و المجموعة التى من ذلك النوع لن تستمر بعد التخرج,والشلة الي من هاد النوع عمرها ما رح تسمتر بعد التخرج,Syria,LEV,train
لكن هذا لا يمنع أن السيدة المحجبة من حقها تقديم البرامج,بس هاد ما بيمنع أنو المحجبة من حقها تقدم برامج,Syria,LEV,train
هل  من  الممكن  حدوث انسداد فى الانابيب  خلال  الوقت  بعد  الاشعه .,شو ممكن يصير تتسكر الجرة خلال هالوقت الي بعد الأشعة,Syria,LEV,train
ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),Syria,LEV,train
افضل  منها وافضل  من انسان على  وجه الارض .,أحسن منا أحسن من أي أنسان على وجه الأرض,Syria,LEV,train
و لدينا عادات و لدينا شرف من اللازم نحافظ عليهم كفتيات,وعنا عادات وعنا شرف لأزم نحافظ عليهم كبنات نحافظ عليهم,Syria,LEV,train
برجاء توضيحها لى يعنى حبيب حبيبى يكون حبيبى أكيد,ياريت تشريحيها أكتر ألي يعني حبيب حبيبي بكون حبيبي أكيد,Syria,LEV,train
و قبل ان اصل رن على طلال و قال اهلاً بالبندر,وقبل ما يوصل دق علي طلال الو مرحبا منذر,Syria,LEV,train
إنه يحب أن تكون لديه عيوب أو مشاكل فى شخصيته,بيحب يكون عندو عيون أو ديفوهات في شخصينه,Syria,LEV,train
انت ضرط وحدك بالحمام ، انت تضرط و تعترف,انحبس لوحدك بالحمام أنتو شو بتحبسو وبتعترفو,Syria,LEV,train
و هذا شرط و بإذن الله يمكن عمله فى الكلية,وهو واحد بس بأذن الله في الكلية ممكن,Syria,LEV,train
سألوا سائق من أفضل مطربين عندك قال مازدا الرومي مايكل داتسون اسكودا الشمالي,سألو سواق مين أحس مطربين عندك قال مازدا الرومي ومايكل داتسون واسكودا الشمالي,Syria,LEV,train
انا لم أقرأ شىء كهذا من قبل,أنا عمري ما قريت رسالة بالشكل هاد,Syria,LEV,train
جميلة جداً,ههه قوية كتير,Syria,LEV,train
مرحباً بكى يا هبه نحن مشتاقين اليكِ و الله سيجعل كل شىء جيد ، شكراً على مشاركتك الطيبة و نتمنى لكِ أياماً سعيدة ولكن هذه السيدة,نورتي يا هبة ألك فقدة والله وأن شاءالله خير شكرا كتير لمرورك المعطر وويارب تكون أيامك كلها سعيدة بس هائم هي,Syria,LEV,train
و سنقطعك أيضا إذا لم تعجبنا,ورح نقطعك كمان  لو ما عجبتنا,Syria,LEV,train
اهم شئ فى حياتى اننى اعشق حياتى  ولا احاول افكر فيما مضى ولا الذى سوف ياتى فى يوم,أهم شغلة عندي في حياتي أني بعشق حياتي ولا باي يوم بفكر في الي راح وفي الي عدى واللي ممكن يوم يكون,Syria,LEV,train
الأجنبى كرياكو سافر للحج,السائح كرياكو في الحج,Syria,LEV,train
لا  يوجد  حياه  تنبض  داخل  تانبوت . ولا حبيب  يحب بالعصا ( النبوت ),هو مافي حياة بتنبض في قلب تابوت ولا في حبيب بيحب بالنبوت,Syria,LEV,train
"وأيضاً من المفاجئة أنه تحدث حديث رجل عنده كرامه , تخيلوا ؟","والمفاجئة بقى أنه أحكي مرة وحدة فعلا عندو كرامة , تصورا؟",Syria,LEV,train
كلمات جميلة .. كليب جميل .. و يحتوى تشجيع على لبس الحجاب .. وانا فى الحقيقة تعجبت من الكلام الغريب الذى تحدثتى به فى الاغنية,كلمات حلوة ... وكليب أحلى وكله تشجيع على الحجاب .... وأنا استغربت من الكلام الغريب اللي أنتي قلتي على الأغنية,Syria,LEV,train
قال لهم و الطوااف ؟؟,قالهم طيب وشو مشان الطوائف ؟؟؟؟,Syria,LEV,train
وقليلاً لا,وشويه لأ,Syria,LEV,train
أسف إذا أطلت عليك,معلش لو طولت عليك,Syria,LEV,train
لابد  ان  تخافى على نفسك  . الايام القادمه   ومن  الافضل  الاختباء  فى  اى مكان .,خافي على حالك بقى اليومين الي جايين واتخبي في أي مكان,Syria,LEV,train
الى وقتنا هذا اقف انا و اختى نقلد الاغانى تماما,ولحد هلئ الصراحة واقفة أنا وأختي نقلد الغنية بالضبط,Syria,LEV,train
والتلاميذ النجباء.,والتلاميذ الشاطرين,Syria,LEV,train
شكرا على هذا الموضوع الرائع و من عاداتى,شكرا على الموضوع الرائع هاد ومن عاداتي,Syria,LEV,train
وليس يعرف أن هذا النهار المحلات ستكون مغلقة,وما بيعرف أن باليوم هاد المحلات بتكون مسكرة,Syria,LEV,train
وفقكم الله و أسألوه,اتفضل الله يوفقك يارب للأستفسار,Syria,LEV,train
و ما المشكلة فى ان تقول لأمك إننى أحبك من الممكن ان تتعجب فى البداية و لكن إن قلتها كثيراً فسترى نتائج مذهلة,شوفيها لو بدها تقول لأمك ياأمي أنا احبك ممكن تستغرب في البداية بس لو قالتلها ياها على طول رح تشوف تغير رهيبة ونتائج حلوة كتير,Syria,LEV,train
لكن فى بعض الأوقات نرى الذى أمامنا حسب ما نريد خلال الفترة التى تفكر فيها ولا تجد,بس احيانا الواحد بيشوف اللي قدامو حسب ما بريد خلال الفترة الي رح تفكر فيها هون ما لقيت,Syria,LEV,train
انا اؤكد  لكم  ان  الحفله  ستكون  خاويه .,وأنا متأكدة أن الحفلة رح تكون فاضية,Syria,LEV,train
إذا كنت تسير مع بنت و رأيت شاب يبوس يد حبيبته رومانسية طبعاً وشاب جنتل جداً وتقول لك شابهه فى العمل,لو كنت ماشي مع بنت وشفت شاب بيبوس أيد حبيبته زومانسية طبعا  وهو شاب جنتل كتير يعني وبتقلك ليش ما بتعمل متلو,Syria,LEV,train
"و لا أريد عسل منك تحياتى ""علاء الفولى""",وما بدو عسل منك سلام على الفول,Syria,LEV,train
و بعد الزواج ، بعد أن تمزقت الجوارب,وبعدا بعد الجواز يفرجينا عضلاتو,Syria,LEV,train
دعك  من  ذلك  ايتها  الطبيبه   فأن همومه قد كتبت على  جبينه  .,خلي  الاستاذ يا دكتوره هاد همو مكتوب على طول,Syria,LEV,train
و إذا كنتم تريدون الكثير من القصص ، سنروى قصص أكثر .. أنتم تأمروا و نحن جوارى القرن الواحد والعشرين علينا التنفيذ,"ولو بدكن قصص أكتر , بحكيلكن قصص أكتر .... بس هيك ..... أنتو  بتأمرو ونحنا خدامين القرن الواحد وعشرين بننفذ",Syria,LEV,train
اتمنى ان لا تقعوا فيه و لا كنت اعرف ان مصر هذه بلاد لم تعد مثل بلادى,بتمنى أنك ما توقعو فيه وماكنت بعرف إن مصر هي البلاد مالها متل بلادي,Syria,LEV,train
انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان,أنا شفتها تمانية بس رح قول شو رح تنزل المرة هي مروان,Syria,LEV,train
وبعض الرجال يقولون أنها تستمر في الذهاب برفقة صديقاتها,وبيقولو بعض الشباب هي رايحة وجاي قدامي مع رفقاتها,Syria,LEV,train
احضروا عسكرى و وضعوه فى الجبهه,جابوا عسكري وحطوه بالجبهة,Syria,LEV,train
أيوجد شخص يشعر بهذه الاحاسيس لمجرد موت عصفور,كل هاد لسه في حدا بيحس بالأحاسيس هي لمجرد وفاة عصفور ....,Syria,LEV,train
فهى قررت أنة يكون محروم من الزواج بخاطره,فهي قررت أنه يبقى محروم من الجواز برضاته,Syria,LEV,train
ليس الموضوع أن أتزوج و أنجب أطفال و أتركهم فى الشوارع,المسئلة مو أني أتجوز وأجيب ولاد وأزتن في الشارع,Syria,LEV,train
هل هذه المجموعة تحتوى على أى شىء,هاااااااااااا لوكشة في شغلة هههه,Syria,LEV,train
هل ممكن ان اثق بك ؟,هل ممكن أثق فيك ؟,Syria,LEV,train
سلام,سلام,Syria,LEV,train
قدمتى لى الحباه على طبق من ذهب بهذه المعلومه,أنتي عطيتني الحياة على طبق من ذهب بالمعلومة هي .....,Syria,LEV,train
واحد غبى جداً ذهب إلى السينما وجد لوحه مكتوب عليها ممنوع الدخول لأقل من ذهب و عاد معه واحد,واحد غبي كتير كتير راح على السينما لقى لوحة مكتوب عليها ممنوع الدخلو لأقل من 18 راح ورجع جاب معو واحد,Syria,LEV,train
الكشرى يكون خالى من العدس و به المزيد من الورد والدقة .,على صحن الكشري مافيو عدس ورجع حط زياده في الدقة,Syria,LEV,train
النوابغ من  سيطور  دنيانا .,النوابغ الي رح يطورو دنيتنا,Syria,LEV,train
اخذنا على رأسنا من الظهر الى المساء,أخدنا على قد عقلنا ومشانا من الظهر لحد المصر,Syria,LEV,train
حتى لا أغضب,بعدين بزعل كتير وعلى طول,Syria,LEV,train
وجعلنى أنظر إلى الدنيا وإلى الأحياء,وخلاني أتطلع على الدنيا وعلى الأحياء,Syria,LEV,train
ستجد الكثير جاءوا اليك سريعا لكى يساعدوك  إختبر نفس الفكره,رح  تلاقي ألف واحد أجى يركض عليك يساعدك جرب نفس الفكرة,Syria,LEV,train
و كان لاعبى الزمالك سوف يحاربون على المكسب,وكان لاعبين الزمالك رح يحاربو على الربح,Syria,LEV,train
يسعد مساءك يا ورده,مساك عسل يا عسل,Syria,LEV,train
و للأمانة هذه تكون فظاظة لأنها تلقى التحية لكل الناس,ولا شو رأيك لأنو بصراحة رح تصير قلة زوء أنو تسلم على كل الناس,Syria,LEV,train
كتكوته مشاغبه تحدّث الكثير من الضجيج,كتكوته ومشاغبة كتير وعم تساوي حيصه ولوصه,Syria,LEV,train
وإذا امسكتى به سيقول لك أنا نازل ويغلق الباب بسرعة,لو لقتطيه رح يقلك أنا رايح ويسكر الباب بسرعة,Syria,LEV,train
صادفت أن ابحث عن قيمة الانتقالات ، لم أجد شيئا ووجدت حقيبة اليد خاصتى مفتوحة,فورمات طبعا,Syria,LEV,train
أبو فهيم يلقى السلام على الصيادين و الصديق المصرى,أببو فهيم بيرمي السلام للصيد والرفيق المصري,Syria,LEV,train
وأنا بنت محظوظة فيوجد الكثير من البنات فى أحوال سيئة هل رأيت الحكايات التى فاجئتنى أنا شخصيا ً منذ أن أصبحت والدتى مهتمه بهذا الموضوع,وأنا من أكتر البنات الي حظ لأنو في أسواء مراحل متل شفت القصة اللي فاجئتني أنا شخصيا من أول أمي بقيت مهتمة بالموضوع هاد..,Syria,LEV,train
انا لديه احباط كل شئ جميل ينقلب فضائح و مصائب,أنا عندي أحباط كل شي حلو لازم ينقلب فضايح ومصايب ...,Syria,LEV,train
الذى يخاف من الحرب يخاف لانه لديه شئ مهم يخسره,المهم الي خايف من الحرب خايف مشان عندو شي خايف يخسرو,Syria,LEV,train
فى كتاباته كلها  و هدؤه الجميل,في كل كتابته وهدوئه الحلو كتير,Syria,LEV,train
جمال حوريات البحر فى القصص الاساطيرية,جمال الحور في قصص الأساطير,Syria,LEV,train
و لكن أنتى تغفلى بريدك الألكترونى كثيراً,صحيح أنتي بتنسي الأيميل تبعك كتير,Syria,LEV,train
بالرغم من إننى لم أكن مغرمه بالزمالك,رغم أني مالي زمالكاوية,Syria,LEV,train
اهذه  القصه  من  تقف  على  لوحه المفاتيح .,هي القصة الي واقفة على الكيبورد,Syria,LEV,train
أليس كافيا من تعقيدنا بتصميمات الجرافيك خاصتك,يعني ما بيكفي عقدتينا بالتصميمات الجرافيك الي ساويتها,Syria,LEV,train
الجنى احضر له الكشرى و اكله و بعدما انتهى ساله الجنى ماذا تطلب فى المره الثانيه ؟ الصعيدى قال اريد واحد اخر,الجني  جابلو كشري وقعد عم يأكل فيه ..... وبعد ما خلص الجني سأله طلبك التان يشو ؟؟؟؟ الصعيدي واحد كمان وحياة أبوك,Syria,LEV,train
انا افضل عدم الزواج عن أنى أتزوج رجل يجعل حياتى جحيما,أنا عندي ما أتجوز أحسن ما أتجوز واحد يقرفني حياتي,Syria,LEV,train
و لكن عندى سؤال أسأله اليك؟,بس أنا عندي سؤال أسأله ألك,Syria,LEV,train
صلى الله عليه و سلم,اللهم صل على محمد صل الله عليه وسلم,Syria,LEV,train
اريد  ان  اسألك  .مما  يخاف  الفيل  .,وبدي أسألك هو الفيل من شو بيخاف,Syria,LEV,train
اشعر بالدفأ والطمأنينه .,ادفى واتطمن,Syria,LEV,train
دائماً,أبدا أبدا,Syria,LEV,train
كل رمضان وأنت طيبة,كل رمضان وأنت مافي أحلى منك,Syria,LEV,train
اوه ياعمرو أقسم بالله من غير مجاملة، أنت مدير عبقري,والله يا عمرو من غير مجاملة أنت مخرج عبقري,Syria,LEV,train
سحبها سيجعله يتلاشى و تتهدم فى عيون صهيون,اوعوا تسحبوها تركو ليفنى ودغدغيها وبعيون صهيون,Syria,LEV,train
سوف أحاول مرة ثانية وبإذن الله تكون الصورة جاهزة خلال إسبوع .,رح حاول مرة تانية وبأذن الله رح يكون البنر جاهز خلال أسبوع,Syria,LEV,train
عن موضعها الحقيقى لموضعها الاستعارى ، الأبداع هو تحطيم النقل وتفجيره,بتنتقل من موضوعها الحقيقي لموضوعها الاستعاري لأنو الأبداع هو تحطيم النقل وتفجيره,Syria,LEV,train
لذلك هذا جيد إنهم أيضاً لم يكتبوا التقدير فى الشهادة,بيبقى كويس وشو كمان مكتوب في الشهادة معدله تقدير,Syria,LEV,train
نقوم بتشغيل أغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,Syria,LEV,train
هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .,والمجال هاد أنا بحبه كتير خاصة الشخصيات ومدى أحساسك وأنتي عم تكتبي,Syria,LEV,train
لكن من الواضح أنها ليست لها احتياج الان,بس واضح أنو كمان ما بقي الها لزمه,Syria,LEV,train
بعدها سوف أنسحب. لماذا؟,وبعدين رح تنتقل ليش ؟؟؟؟؟,Syria,LEV,train
رد الثانى عليه الذى يضايقنى أن السور قصير جداً,رد التاني عليه قلو الي مضايقني أنو الطاولة واطية كتير,Syria,LEV,train
ستكونى,الله يديمك,Syria,LEV,train
أعتذر أولاً للحصول على اللقب، والذي سوف يجادلني بشأنه بالتأكيد جميع المراهقين بالنادي,أولا بعتذر عن العنوان اللي أكيد كل شباب المنتدى رح ياخدوا مني موقف,Syria,LEV,train
حسناً ماذا إذا تم حرقها و تخريبها,طيب لو شعلة الدنيا وخربت ......,Syria,LEV,train
بكل  تأكيد  . فمن المهم  جدا  تغيير المجتمع  نحو الافضل . فلايغير الله مابقوم حتى يغيروا مابأنفسهم.,أكيد بس الأهم أننا نغير المجتمع للأفضل لانو أن الله لا يغير ما بقوم حتى يغيرو ما بأنفسهم,Syria,LEV,train
لا يوجد شخص يقطع راسه اذا انتفض لفوق,ما حدا رح يقطع راسهم لو شدوا لفوق ......,Syria,LEV,train
تحلم معى الشيماء حامد,بتحلم معي الشيماء حامد,Syria,LEV,train
تحياتى لك,تحياتي ألك أيييييه,Syria,LEV,train
وتريحنى و تحذف من قلبى المخاوف,بتريحني وبتبعت على قلبي صبايا,Syria,LEV,train
نحن الشعب الوحيد الذى يتكلم عن فلسطين و يدافع عنها,هو نحنا الشعب الوحيد الي بيحكي عن فلسطين وبيدافع عنها,Syria,LEV,train
دعنا  ننتظر ما  سوف يفعله  .  لابد  له  من  البحث  عن  مكان  جيد  للتنزه  . نحتاج  لبعض  المرح .,رح نشوف شو رح يعمل الواحد لازم يدور على طلعه حلوة الواحد ينبسط فيها,Syria,LEV,train
و هذا الذى نحن ممنوعين منه..,وهاد الي نحنا محرومين منو ........,Syria,LEV,train
او يعترف بما بداخله لانه يعتبر هذا نقص فى شخصيته او ضعف فى رجولته,أو يعترف باللي جواه لأنه بيعتبر هاد نقصان في شخصيته أو ضعف في رجولته,Syria,LEV,train
و لكنه طبيعى و كفى فضائح,بس عادي يلا بقى حاج فضايح هههه,Syria,LEV,train
لقد تحدثت فى هذا الموضوع فى مدونتى,على فكرة أنا حكيت عن الموضوع هاد في كتابياتي,Syria,LEV,train
حسناً انك تقول أيضاً أن الشخص يعمل لمدة 12 ساعة,طيب وبعدين انت عم تقول الواحد لازم يشتغل 12 ساعة,Syria,LEV,train
و أشخاص دائماً غير متواجدين برغم من أنهم قريبين..,وناس على طول مو موجوده حتى لو كانو قريبين ....,Syria,LEV,train
وان لم ينتبه احد من الناس.,حتى لو الناس مالها منتبه,Syria,LEV,train
لماذا تحكمى باسوء,لما بتؤمري بالسوء,Syria,LEV,train
اتمنى لك  كل  التوفيق   وان  تصبح  شاعرا  عظيما  .,وبتمنى شوفك شاعر كبير قد الدنيا,Syria,LEV,train
يا  ليتنى  كنت  قد  قرأت   مثل  هذه الرساله  فتره الدراسه .,ياريتني كنت قريت رسالة متل هي الايام دراستي,Syria,LEV,train
و تنسى ان الذوق الداخلى ان تقول له كلمه جميله,وتنسى أن الذوق من جوا وتنسى تقول كلمة حلوة,Syria,LEV,train
أين هو اتحاد إهانة مصر والمصريين؟,وين الأتحاد من شباب مصر والمصريين ....,Syria,LEV,train
و يعتبروه إهانة,وبيعتبرها أهانة ومسبة,Syria,LEV,train
حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,عنجد يا بنوته توبيكاتك كلها حلوة وعم نستنى منك الأكتر من هيك,Syria,LEV,train
